Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00434937212978377,5.20417042793042E-18,0.0334255512696373,0,0,0,0.00891029041853838,3.67875098397923E-06,9.3727693696127E-22,-1.4437922233958E-07,3.27524790321564E-06,-1.30347421081159E-21,8.06494585207849E-07,0,0,0,0,0,0,package://robotiq_realsenseD435.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotiq_realsenseD435.SLDASM/meshes/base_link.STL,,Robotiq_D435支架-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ToD435_link,-0.0108506278702164,-3.64291929955129E-17,-0.0110744487303627,0,0,0,0.00891029041853838,3.67875098397923E-06,1.66277483889809E-21,-1.4437922233958E-07,3.27524790321564E-06,-1.55233362424586E-21,8.06494585207849E-07,0,0,0,0,0,0,package://robotiq_realsenseD435.SLDASM/meshes/ToD435_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotiq_realsenseD435.SLDASM/meshes/ToD435_link.STL,,Robotiq_D435支架-2,坐标系1,,ToD435_joint,fixed,0.0152,0,0.0445,0,0,0,base_link,0,0,0,,,,,,,,,,,,
